"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Greg Holland","Royals","2","1","47","68","0","67.0","13.84","2.42","0.40",".282","87.4 %","39.4 %","6.8 %","1.21","1.36","1.68","3.1","7196"
"Koji Uehara","Red Sox","4","1","21","73","0","74.1","12.23","1.09","0.61",".188","91.7 %","40.4 %","6.8 %","1.09","1.61","2.08","3.1","9227"
"Mark Melancon","Pirates","3","2","16","72","0","71.0","8.87","1.01","0.13",".296","79.9 %","60.3 %","3.2 %","1.39","1.64","2.05","2.5","4264"
"Kenley Jansen","Dodgers","4","3","28","75","0","76.2","13.03","2.11","0.70",".273","87.5 %","37.3 %","9.8 %","1.88","1.99","2.06","2.4","3096"
"Joe Nathan","Rangers","6","2","43","67","0","64.2","10.16","3.06","0.28",".224","87.2 %","32.0 %","3.0 %","1.39","2.26","3.27","2.4","1122"
"Craig Kimbrel","Braves","4","3","50","68","0","67.0","13.16","2.69","0.54",".263","92.2 %","47.4 %","10.3 %","1.21","1.93","1.95","2.2","6655"
"Trevor Rosenthal","Cardinals","2","4","3","74","0","75.1","12.90","2.39","0.48",".341","76.7 %","44.4 %","6.5 %","2.63","1.91","2.34","2.2","10745"
"Nate Jones","White Sox","4","5","0","70","0","78.0","10.27","3.00","0.58",".330","62.9 %","50.5 %","9.1 %","4.15","2.64","2.77","1.9","4696"
"Danny Farquhar","Mariners","0","3","16","46","0","55.2","12.77","3.56","0.32",".336","58.5 %","42.1 %","4.9 %","4.20","1.86","2.40","1.9","8501"
"Aroldis Chapman","Reds","4","5","38","68","0","63.2","15.83","4.10","0.99",".280","86.2 %","33.6 %","14.6 %","2.54","2.47","2.07","1.8","10233"
"Drew Smyly","Tigers","6","0","2","63","0","76.0","9.59","2.01","0.47",".290","80.7 %","43.4 %","5.3 %","2.37","2.31","2.99","1.8","11760"
"Glen Perkins","Twins","2","0","36","61","0","62.2","11.06","2.15","0.72",".271","83.3 %","36.2 %","9.4 %","2.30","2.49","2.61","1.8","8041"
"Neal Cotts","Rangers","8","3","1","58","0","57.0","10.26","2.84","0.32",".246","89.8 %","44.1 %","4.3 %","1.11","2.17","2.82","1.8","1797"
"Sean Doolittle","Athletics","5","5","2","70","0","69.0","7.83","1.70","0.52",".262","70.5 %","33.0 %","4.6 %","3.13","2.71","3.68","1.6","1581"
"Bobby Parnell","Mets","5","5","22","49","0","50.0","7.92","2.16","0.18",".264","68.6 %","51.8 %","2.8 %","2.16","2.33","3.05","1.6","9926"
"Ryan Cook","Athletics","6","4","2","71","0","67.1","8.96","3.34","0.27",".306","78.2 %","46.7 %","3.0 %","2.54","2.74","3.71","1.6","8855"
"Addison Reed","White Sox","5","4","40","68","0","71.1","9.08","2.90","0.76",".260","68.9 %","33.0 %","6.8 %","3.79","3.17","3.77","1.6","10586"
"Jason Grilli","Pirates","0","2","33","54","0","50.0","13.32","2.34","0.72",".327","80.6 %","33.0 %","8.5 %","2.70","1.97","2.21","1.5","521"
"Steve Cishek","Marlins","4","6","34","69","0","69.2","9.56","2.84","0.39",".278","79.7 %","53.1 %","5.8 %","2.33","2.52","2.98","1.4","6483"
"Joaquin Benoit","Tigers","4","1","24","66","0","67.0","9.81","2.96","0.67",".256","87.3 %","42.3 %","8.1 %","2.01","2.87","3.16","1.4","1437"
"David Robertson","Yankees","5","1","3","70","0","66.1","10.45","2.44","0.68",".288","87.5 %","50.9 %","10.6 %","2.04","2.61","2.60","1.4","8241"
"Mariano Rivera","Yankees","6","2","44","64","0","64.0","7.59","1.27","0.84",".280","87.3 %","46.1 %","10.2 %","2.11","3.05","3.09","1.3","844"
