"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Clayton Kershaw","Dodgers","16","9","0","33","33","236.0","8.85","1.98","0.42",".251","80.6 %","46.0 %","5.8 %","1.83","2.39","2.88","7.2","2036"
"Matt Harvey","Mets","9","5","0","26","26","178.1","9.64","1.56","0.35",".280","77.4 %","47.7 %","4.7 %","2.27","2.00","2.63","6.9","11713"
"Adam Wainwright","Cardinals","19","9","0","34","34","241.2","8.16","1.30","0.56",".305","74.5 %","49.1 %","8.1 %","2.94","2.55","2.80","6.2","2233"
"Felix Hernandez","Mariners","12","10","0","31","31","204.1","9.51","2.03","0.66",".314","75.1 %","51.4 %","10.0 %","3.04","2.61","2.66","6.1","4772"
"Max Scherzer","Tigers","21","3","0","32","32","214.1","10.08","2.35","0.76",".259","74.4 %","36.3 %","7.6 %","2.90","2.74","3.16","5.9","3137"
"Anibal Sanchez","Tigers","14","8","0","29","29","182.0","9.99","2.67","0.45",".307","78.2 %","45.4 %","5.8 %","2.57","2.39","2.91","5.9","3284"
"Cliff Lee","Phillies","14","8","0","31","31","222.2","8.97","1.29","0.89",".287","76.7 %","44.3 %","10.9 %","2.87","2.82","2.78","5.6","1636"
"Mat Latos","Reds","14","7","0","32","32","210.2","7.99","2.48","0.60",".299","74.6 %","45.1 %","6.9 %","3.16","3.10","3.56","5.1","3815"
"Justin Verlander","Tigers","13","12","0","34","34","218.1","8.95","3.09","0.78",".316","74.5 %","38.4 %","7.8 %","3.46","3.28","3.67","4.8","8700"
"Chris Sale","White Sox","11","14","0","30","30","214.1","9.49","1.93","0.97",".289","77.0 %","46.6 %","12.5 %","3.07","3.17","2.95","4.8","10603"
"Cole Hamels","Phillies","8","14","0","33","33","220.0","8.26","2.05","0.86",".295","72.5 %","42.7 %","9.1 %","3.60","3.26","3.44","4.7","4972"
"Yu Darvish","Rangers","13","9","0","32","32","209.2","11.89","3.43","1.12",".264","83.9 %","41.0 %","14.4 %","2.83","3.28","2.84","4.6","13074"
"Derek Holland","Rangers","10","9","0","33","33","213.0","7.99","2.70","0.85",".307","75.1 %","40.8 %","8.8 %","3.42","3.44","3.68","4.5","4141"
"Jose Fernandez","Marlins","12","6","0","28","28","172.2","9.75","3.02","0.52",".240","79.4 %","45.1 %","7.1 %","2.19","2.73","3.08","4.2","11530"
"James Shields","Royals","13","9","0","34","34","228.2","7.71","2.68","0.79",".298","79.5 %","41.6 %","8.6 %","3.15","3.47","3.72","4.1","7059"
"Hisashi Iwakuma","Mariners","14","6","0","33","33","219.2","7.58","1.72","1.02",".252","81.9 %","48.7 %","11.8 %","2.66","3.44","3.28","4.1","13048"
"Jhoulys Chacin","Rockies","14","10","0","31","31","197.1","5.75","2.78","0.50",".288","71.9 %","46.8 %","6.2 %","3.47","3.47","3.97","4.1","2608"
"Homer Bailey","Reds","11","12","0","32","32","209.0","8.57","2.33","0.86",".284","73.7 %","46.1 %","10.2 %","3.49","3.31","3.34","4.1","8362"
"Doug Fister","Tigers","14","9","0","32","32","207.2","6.85","1.91","0.61",".332","73.4 %","54.6 %","9.0 %","3.68","3.27","3.42","4.0","9425"
"Bartolo Colon","Athletics","18","6","0","30","30","190.1","5.53","1.37","0.66",".294","80.0 %","41.5 %","6.0 %","2.65","3.23","3.95","4.0","375"
"A.J. Burnett","Pirates","10","11","0","30","30","191.0","9.85","3.16","0.52",".305","71.8 %","56.5 %","9.1 %","3.30","2.80","2.92","4.0","512"
"David Price","Rays","10","8","0","27","27","186.2","7.28","1.30","0.77",".298","70.0 %","44.9 %","8.6 %","3.33","3.03","3.27","4.0","3184"
"Jordan Zimmermann","Nationals","19","9","0","32","32","213.1","6.79","1.69","0.80",".271","74.4 %","47.6 %","9.5 %","3.25","3.36","3.48","3.8","4505"
"Hyun-Jin Ryu","Dodgers","14","8","0","30","30","192.0","7.22","2.30","0.70",".296","78.2 %","50.6 %","8.7 %","3.00","3.24","3.46","3.8","14444"
"Justin Masterson","Indians","14","10","0","29","29","189.1","8.94","3.57","0.62",".286","75.1 %","58.0 %","10.8 %","3.52","3.40","3.37","3.7","2038"
"Madison Bumgarner","Giants","13","9","0","31","31","201.1","8.90","2.77","0.67",".251","75.7 %","46.8 %","8.2 %","2.77","3.05","3.32","3.5","5524"
"Ubaldo Jimenez","Indians","13","9","0","32","32","182.2","9.56","3.94","0.79",".304","76.5 %","43.9 %","9.0 %","3.30","3.43","3.62","3.5","3374"
"Jose Quintana","White Sox","9","7","0","33","33","200.0","7.38","2.52","1.04",".283","76.6 %","42.5 %","10.2 %","3.51","3.82","3.86","3.4","11423"
"Zack Greinke","Dodgers","15","4","0","28","28","177.2","7.50","2.33","0.66",".276","80.8 %","45.6 %","8.6 %","2.63","3.23","3.45","3.4","1943"
"Mike Minor","Braves","13","9","0","32","32","204.2","7.96","2.02","0.97",".272","75.1 %","35.0 %","8.8 %","3.21","3.37","3.64","3.4","10021"
"Ricky Nolasco","- - -","13","11","0","33","33","198.1","7.44","2.09","0.77",".298","70.7 %","42.8 %","8.7 %","3.72","3.36","3.59","3.3","3830"
"Patrick Corbin","Diamondbacks","14","8","0","32","32","208.1","7.69","2.33","0.82",".283","75.9 %","46.7 %","10.1 %","3.41","3.43","3.48","3.3","9323"
"Jon Lester","Red Sox","15","8","0","33","33","213.1","7.47","2.83","0.80",".300","73.7 %","45.0 %","8.3 %","3.75","3.59","3.90","3.3","4930"
"Lance Lynn","Cardinals","15","10","0","33","33","201.2","8.84","3.39","0.62",".314","71.8 %","43.1 %","7.4 %","3.97","3.28","3.66","3.3","2520"
"Hiroki Kuroda","Yankees","11","13","0","32","32","201.1","6.71","1.92","0.89",".282","75.8 %","46.6 %","10.3 %","3.31","3.56","3.60","3.3","3283"
"Stephen Strasburg","Nationals","8","9","0","30","30","183.0","9.39","2.75","0.79",".263","73.2 %","51.5 %","11.1 %","3.00","3.21","3.15","3.3","10131"
"Gio Gonzalez","Nationals","11","8","0","32","32","195.2","8.83","3.50","0.78",".286","75.3 %","43.9 %","9.7 %","3.36","3.41","3.51","3.3","7448"
"Eric Stults","Padres","11","13","0","33","33","203.2","5.79","1.77","0.80",".302","69.6 %","40.4 %","6.9 %","3.93","3.53","4.13","3.2","8011"
"Jeff Samardzija","Cubs","8","13","0","33","33","213.2","9.01","3.29","1.05",".314","71.7 %","48.2 %","13.3 %","4.34","3.77","3.45","3.0","3254"
"Travis Wood","Cubs","9","12","0","32","32","200.0","6.48","2.97","0.81",".248","77.4 %","33.2 %","6.9 %","3.11","3.89","4.50","3.0","9884"
"C.J. Wilson","Angels","17","7","0","33","33","212.1","7.97","3.60","0.64",".300","73.5 %","44.4 %","7.2 %","3.39","3.51","3.93","2.9","3580"
"Bud Norris","- - -","10","10","0","30","30","174.0","7.40","3.26","0.88",".331","73.2 %","39.9 %","8.2 %","4.14","3.85","4.21","2.7","9492"
"Andrew Cashner","Padres","10","9","0","26","26","165.2","6.46","2.23","0.60",".270","72.0 %","52.8 %","7.9 %","3.04","3.29","3.58","2.7","8782"
"Rick Porcello","Tigers","13","8","0","29","29","172.2","7.25","2.19","0.94",".317","69.5 %","55.1 %","14.2 %","4.43","3.57","3.22","2.7","2717"
"Andy Pettitte","Yankees","11","11","0","30","30","185.1","6.22","2.33","0.83",".308","72.9 %","46.0 %","9.1 %","3.74","3.70","3.88","2.7","840"
"Jorge De La Rosa","Rockies","16","6","0","30","30","167.2","6.01","3.33","0.59",".303","75.4 %","47.3 %","7.7 %","3.49","3.76","4.08","2.7","2047"
"Kris Medlen","Braves","15","11","0","31","31","194.0","7.19","2.13","0.79",".297","76.3 %","45.0 %","9.4 %","3.11","3.42","3.55","2.6","9417"
"Julio Teheran","Braves","14","8","0","30","30","185.2","8.24","2.18","1.07",".288","80.9 %","37.8 %","10.1 %","3.20","3.69","3.76","2.6","6797"
"Ervin Santana","Royals","9","10","0","32","32","211.0","6.87","2.18","1.11",".267","76.9 %","46.2 %","12.4 %","3.24","3.93","3.69","2.5","3200"
"John Lackey","Red Sox","10","13","0","29","29","189.1","7.65","1.90","1.24",".281","76.9 %","46.8 %","13.3 %","3.52","3.86","3.49","2.5","1507"
"Mike Leake","Reds","14","7","0","31","31","192.1","5.71","2.25","0.98",".285","77.7 %","48.7 %","11.5 %","3.37","4.04","3.91","2.3","10130"
"Scott Feldman","- - -","12","12","0","30","30","181.2","6.54","2.77","0.94",".258","69.4 %","49.6 %","11.0 %","3.86","4.03","3.96","2.2","6283"
"Edwin Jackson","Cubs","8","18","0","31","31","175.1","6.93","3.03","0.82",".322","63.3 %","51.3 %","9.9 %","4.98","3.79","3.86","2.2","1841"
"Mark Buehrle","Blue Jays","12","10","0","33","33","203.2","6.14","2.25","1.06",".305","73.4 %","45.3 %","10.6 %","4.15","4.10","4.09","2.2","225"
"CC Sabathia","Yankees","14","13","0","32","32","211.0","7.46","2.77","1.19",".308","67.4 %","44.7 %","13.0 %","4.78","4.10","3.76","2.1","404"
"Shelby Miller","Cardinals","15","9","0","31","31","173.1","8.78","2.96","1.04",".280","80.1 %","38.4 %","10.1 %","3.06","3.67","3.73","2.1","10197"
"Dillon Gee","Mets","12","11","0","32","32","199.0","6.42","2.13","1.09",".296","77.9 %","42.6 %","10.1 %","3.62","4.00","4.07","2.0","7396"
"Kyle Kendrick","Phillies","10","13","0","30","30","182.0","5.44","2.32","0.89",".306","66.6 %","49.4 %","9.5 %","4.70","4.01","4.15","2.0","6230"
"Chris Tillman","Orioles","16","7","0","33","33","206.1","7.81","2.97","1.44",".269","80.5 %","38.6 %","14.2 %","3.71","4.42","3.88","2.0","5279"
"R.A. Dickey","Blue Jays","14","13","0","34","34","224.2","7.09","2.84","1.40",".265","73.2 %","40.3 %","12.7 %","4.21","4.58","4.23","1.8","1245"
"Miguel Gonzalez","Orioles","11","8","0","28","28","170.0","6.35","2.81","1.27",".260","73.4 %","39.0 %","11.6 %","3.81","4.46","4.29","1.7","7024"
"Kyle Lohse","Brewers","11","10","0","32","32","198.2","5.66","1.63","1.18",".276","79.1 %","40.2 %","10.8 %","3.35","4.08","4.03","1.6","739"
"Wade Miley","Diamondbacks","10","10","0","33","33","202.2","6.53","2.93","0.93",".296","75.8 %","52.0 %","12.5 %","3.55","3.98","3.77","1.6","8779"
"Yovani Gallardo","Brewers","12","10","0","31","31","180.2","7.17","3.29","0.90",".299","70.2 %","49.2 %","11.9 %","4.18","3.89","3.74","1.5","8173"
"A.J. Griffin","Athletics","14","10","0","32","32","200.0","7.70","2.43","1.62",".242","77.3 %","32.1 %","12.5 %","3.83","4.55","4.18","1.5","11132"
"Kevin Correia","Twins","9","13","0","31","31","185.1","4.90","2.19","1.17",".313","76.1 %","44.0 %","11.7 %","4.18","4.40","4.24","1.4","1767"
"Dan Haren","Nationals","10","14","0","30","30","168.2","7.95","1.65","1.49",".301","70.1 %","36.1 %","13.1 %","4.70","4.12","3.69","1.4","1757"
"Tim Lincecum","Giants","10","14","0","32","32","197.2","8.79","3.46","0.96",".300","69.4 %","45.3 %","12.1 %","4.37","3.74","3.56","1.4","5705"
"Jarrod Parker","Athletics","12","8","0","32","32","197.0","6.12","2.88","1.14",".260","73.2 %","41.2 %","10.5 %","3.97","4.40","4.41","1.3","4913"
"Jeremy Hellickson","Rays","11","10","0","31","31","171.2","6.97","2.62","1.26",".309","66.1 %","39.7 %","11.1 %","5.24","4.26","4.17","1.2","4371"
"Matt Cain","Giants","8","10","0","30","30","184.1","7.71","2.69","1.12",".260","71.6 %","37.7 %","10.8 %","4.00","3.93","3.88","1.2","4732"
"Bronson Arroyo","Reds","14","12","0","32","32","202.0","5.52","1.51","1.43",".267","77.9 %","44.4 %","14.0 %","3.79","4.49","3.97","1.2","978"
"Jeff Locke","Pirates","10","7","0","30","30","166.1","6.76","4.55","0.60",".278","75.7 %","53.2 %","8.9 %","3.52","4.03","4.19","1.1","2929"
"Wily Peralta","Brewers","11","15","0","32","32","183.1","6.33","3.58","0.93",".293","66.6 %","51.0 %","11.9 %","4.37","4.30","4.13","0.9","7738"
"Edinson Volquez","- - -","9","12","0","32","32","169.1","7.55","4.09","1.01",".325","64.4 %","47.9 %","12.0 %","5.74","4.25","4.06","0.8","3990"
"Jeremy Guthrie","Royals","15","12","0","33","33","211.2","4.72","2.51","1.28",".296","78.2 %","42.9 %","12.1 %","4.04","4.79","4.55","0.6","2072"
"Joe Saunders","Mariners","11","16","0","32","32","183.0","5.26","3.00","1.23",".332","68.7 %","51.2 %","14.5 %","5.26","4.72","4.23","0.5","4366"
"Ian Kennedy","- - -","7","10","0","31","31","181.1","8.09","3.62","1.34",".295","69.1 %","38.2 %","13.2 %","4.91","4.59","4.19","0.5","6986"
"Ryan Dempster","Red Sox","8","9","0","29","29","168.2","8.32","4.16","1.39",".296","71.8 %","40.9 %","14.0 %","4.64","4.70","4.20","0.5","517"
